"postcode","location"
"CH1 5DL","53.211422,-2.923829"
"CH1 5DN","53.21063,-2.921866"
"CH1 5DP","53.202097,-2.905649"
"CH1 5DQ","53.209724,-2.920424"
"CH1 5DR","53.202543,-2.904969"
"CH1 5DS","53.208858,-2.920839"
"CH1 5DT","53.208269,-2.921441"
"CH1 5DU","53.20845,-2.923526"
"CH1 5DW","53.211109,-2.923763"
"CH1 5DX","53.209304,-2.922361"
"CH1 5DY","53.209204,-2.923871"
"CH1 5DZ","53.209319,-2.927408"
"CH1 5EA","53.209694,-2.924241"
"CH1 5EB","53.20133,-2.935185"
"CH1 5ED","53.210194,-2.922351"
"CH1 5EE","53.210265,-2.924823"
"CH1 5EF","53.209904,-2.92736"
"CH1 5EG","53.205203,-2.920282"
"CH1 5EH","53.20267,-2.932833"
"CH1 5EJ","53.210391,-2.922579"
"CH1 5EL","53.210446,-2.923659"
"CH1 5EN","53.21054,-2.925338"
"CH1 5EP","53.210431,-2.924242"
"CH1 5EQ","53.205063,-2.925594"
"CH1 5ER","53.209183,-2.928708"
"CH1 5ES","53.207061,-2.932195"
"CH1 5ET","53.20625,-2.926743"
"CH1 5EU","53.204134,-2.915558"
"CH1 5EW","53.210585,-2.926462"
"CH1 5EX","53.203883,-2.917768"
"CH1 5EY","53.204344,-2.918856"
"CH1 5EZ","53.205388,-2.923176"
"CH1 5FA","53.206275,-2.919647"
"CH1 5FB","53.209286,-2.926044"
"CH1 5FD","53.20266,-2.921455"
"CH1 5GA","53.205624,-2.922821"
"CH1 5GB","53.208355,-2.925381"
"CH1 5HA","53.206786,-2.927173"
"CH1 5HB","53.207595,-2.929437"
"CH1 5HD","53.207098,-2.928722"
"CH1 5HE","53.210624,-2.93064"
"CH1 5HF","53.21197,-2.929891"
"CH1 5HG","53.209549,-2.931547"
"CH1 5HH","53.208327,-2.930171"
"CH1 5HJ","53.20857,-2.924462"
"CH1 5HL","53.20882,-2.926319"
"CH1 5HN","53.208355,-2.92559"
"CH1 5HP","53.211478,-2.930674"
"CH1 5HQ","53.209812,-2.933423"
"CH1 5HR","53.211127,-2.930741"
"CH1 5HS","53.2094,-2.925552"
"CH1 5HT","53.208992,-2.929033"
"CH1 5HU","53.208776,-2.932457"
"CH1 5HW","53.208518,-2.926582"
"CH1 5HX","53.209816,-2.935175"
"CH1 5HY","53.208002,-2.93268"
"CH1 5HZ","53.20824,-2.932041"
"CH1 5JA","53.204637,-2.93641"
"CH1 5JB","53.211345,-2.928185"
"CH1 5JD","53.205044,-2.931552"
"CH1 5JE","53.20437,-2.931463"
"CH1 5JF","53.204679,-2.932233"
"CH1 5JG","53.20422,-2.932448"
"CH1 5JH","53.203751,-2.933695"
"CH1 5JJ","53.211648,-2.927263"
"CH1 5JL","53.212248,-2.927621"
"CH1 5JN","53.197451,-2.928903"
"CH1 5JP","53.198197,-2.927751"
"CH1 5JQ","53.203275,-2.932427"
"CH1 5JR","53.198658,-2.927372"
"CH1 5JS","53.198098,-2.927689"
"CH1 5JT","53.198256,-2.927295"
"CH1 5JU","53.210924,-2.929075"
"CH1 5JW","53.198104,-2.928139"
"CH1 5JX","53.212586,-2.926909"
"CH1 5JY","53.212221,-2.928833"
"CH1 5JZ","53.207918,-2.932977"
"CH1 5LA","53.209039,-2.926578"
"CH1 5LB","53.209084,-2.924903"
"CH1 5LD","53.202237,-2.920263"
"CH1 5LE","53.203412,-2.917115"
"CH1 5LF","53.203129,-2.91889"
"CH1 5LG","53.200572,-2.92165"
"CH1 5LH","53.203684,-2.919261"
"CH1 5LJ","53.201019,-2.924339"
"CH1 5LL","53.200714,-2.924213"
"CH1 5LP","53.200386,-2.923667"
"CH1 5LQ","53.200932,-2.922795"
"CH1 5LR","53.199477,-2.926147"
"CH1 5LS","53.200077,-2.924064"
"CH1 5LT","53.199582,-2.925281"
